Stage UID,Stage,Rank,Previous Stage Ranking,Change,Bib,Specialty,Rider,Age,Team
paris-nice:2026:2,2,25,31,,51,,Martinez Lenny,,
paris-nice:2026:2,2,26,27,,136,,Rouland Louis,,
paris-nice:2026:2,2,27,25,,182,,Christen Fabio,,
paris-nice:2026:2,2,28,23,,163,,Baudin Alex,,
paris-nice:2026:2,2,29,26,,197,,Vercher Mattéo,,
paris-nice:2026:2,2,30,29,,126,,van Bekkum Darren,,
paris-nice:2026:2,2,31,2,,131,,Fretin Milan,,
paris-nice:2026:2,2,32,33,,167,,Walker Max,,
paris-nice:2026:2,2,33,34,,196,,Le Berre Mathis,,
paris-nice:2026:2,2,34,32,,164,,MacKellar Alastair,,
paris-nice:2026:2,2,35,36,,25,,Tarling Joshua,,
paris-nice:2026:2,2,36,38,,157,,van Uden Casper,,
paris-nice:2026:2,2,37,37,,213,,Giddings Joshua,,
paris-nice:2026:2,2,38,39,,151,,Martinez Juan Guillermo,,
paris-nice:2026:2,2,39,35,,76,,Hessmann Michel,,
paris-nice:2026:2,2,40,42,,27,,Watson Samuel,,
paris-nice:2026:2,2,41,41,,174,,Blume Levy William,,
paris-nice:2026:2,2,42,40,,46,,Söderqvist Jakob,,
paris-nice:2026:2,2,43,43,,204,,Dehairs Simon,,
paris-nice:2026:2,2,44,47,,14,,Thornley Callum,,
paris-nice:2026:2,2,45,44,,202,,Ballerstedt Maurice,,
paris-nice:2026:2,2,46,45,,217,,van Sintmaartensdijk Roel,,
paris-nice:2026:2,2,47,46,,73,,Castrillo Pablo,,
paris-nice:2026:4,4,1,8,,165,,Steinhauser Georg,,
paris-nice:2026:4,4,2,2,,26,,Vauquelin Kévin,,
paris-nice:2026:4,4,3,16,,51,,Martinez Lenny,,
paris-nice:2026:4,4,4,20,,197,,Vercher Mattéo,,
paris-nice:2026:4,4,5,14,,141,,Rondel Mathys,,
paris-nice:2026:4,4,6,7,,163,,Baudin Alex,,
paris-nice:2026:4,4,7,3,,21,,Onley Oscar,,
paris-nice:2026:4,4,8,6,,47,,Vacek Mathias,,
paris-nice:2026:4,4,9,29,,25,,Tarling Joshua,,
paris-nice:2026:4,4,10,5,,13,,Pithie Laurence,,
paris-nice:2026:4,4,11,15,,81,,Paret-Peintre Valentin,,
paris-nice:2026:4,4,12,13,,112,,Donaldson Robert,,
paris-nice:2026:4,4,13,21,,167,,Walker Max,,
paris-nice:2026:4,4,14,41,,27,,Watson Samuel,,
paris-nice:2026:4,4,15,26,,161,,Lamperti Luke,,
paris-nice:2026:4,4,16,39,,213,,Giddings Joshua,,
paris-nice:2026:4,4,17,30,,173,,Fredheim Stian,,
paris-nice:2026:4,4,18,35,,126,,van Bekkum Darren,,
paris-nice:2026:4,4,19,40,,14,,Thornley Callum,,
paris-nice:2026:4,4,20,43,,76,,Hessmann Michel,,
paris-nice:2026:4,4,21,9,,71,,Romeo Iván,,
paris-nice:2026:4,4,22,18,,92,,Askey Lewis,,
paris-nice:2026:4,4,23,44,,174,,Blume Levy William,,
paris-nice:2026:4,4,24,27,,104,,Chamberlain Oscar,,
paris-nice:2026:4,4,25,19,,203,,Debruyne Ramses,,
paris-nice:2026:4,4,26,33,,196,,Le Berre Mathis,,
paris-nice:2026:4,4,27,11,,63,,Costiou Ewen,,
paris-nice:2026:4,4,28,38,,186,,Houcou Emmanuel,,
paris-nice:2026:4,4,29,24,,175,,Løland Sakarias Koller,,
paris-nice:2026:4,4,30,17,,182,,Christen Fabio,,
paris-nice:2026:4,4,31,25,,33,,Arrieta Igor,,
paris-nice:2026:4,4,32,23,,77,,Milesi Lorenzo,,
paris-nice:2026:4,4,33,12,,136,,Rouland Louis,,
paris-nice:2026:4,4,34,34,,46,,Söderqvist Jakob,,
paris-nice:2026:4,4,35,22,,127,,Vinokurov Nicolas,,
paris-nice:2026:4,4,36,28,,164,,MacKellar Alastair,,
paris-nice:2026:4,4,37,31,,131,,Fretin Milan,,
paris-nice:2026:4,4,38,32,,24,,Rodríguez Carlos,,
paris-nice:2026:4,4,39,36,,151,,Martinez Juan Guillermo,,
paris-nice:2026:4,4,40,37,,157,,van Uden Casper,,
paris-nice:2026:4,4,41,46,,204,,Dehairs Simon,,
paris-nice:2026:5,5,1,1,,165,,Steinhauser Georg,,
paris-nice:2026:5,5,2,2,,26,,Vauquelin Kévin,,
paris-nice:2026:5,5,3,3,,51,,Martinez Lenny,,
paris-nice:2026:5,5,4,5,,141,,Rondel Mathys,,
paris-nice:2026:5,5,5,6,,163,,Baudin Alex,,
paris-nice:2026:5,5,6,7,,21,,Onley Oscar,,
paris-nice:2026:5,5,7,4,,197,,Vercher Mattéo,,
paris-nice:2026:5,5,8,11,,81,,Paret-Peintre Valentin,,
paris-nice:2026:5,5,9,9,,25,,Tarling Joshua,,
paris-nice:2026:5,5,10,8,,47,,Vacek Mathias,,
paris-nice:2026:5,5,11,31,,33,,Arrieta Igor,,
paris-nice:2026:5,5,12,10,,13,,Pithie Laurence,,
paris-nice:2026:5,5,13,18,,126,,van Bekkum Darren,,
paris-nice:2026:5,5,14,38,,24,,Rodríguez Carlos,,
paris-nice:2026:5,5,15,35,,127,,Vinokurov Nicolas,,
paris-nice:2026:5,5,16,12,,112,,Donaldson Robert,,
paris-nice:2026:5,5,17,13,,167,,Walker Max,,
paris-nice:2026:5,5,18,14,,27,,Watson Samuel,,
paris-nice:2026:5,5,19,15,,161,,Lamperti Luke,,
paris-nice:2026:5,5,20,19,,14,,Thornley Callum,,
paris-nice:2026:5,5,21,21,,71,,Romeo Iván,,
paris-nice:2026:5,5,22,20,,76,,Hessmann Michel,,
paris-nice:2026:5,5,23,22,,92,,Askey Lewis,,
paris-nice:2026:5,5,24,23,,174,,Blume Levy William,,
paris-nice:2026:5,5,25,24,,104,,Chamberlain Oscar,,
paris-nice:2026:5,5,26,25,,203,,Debruyne Ramses,,
paris-nice:2026:5,5,27,26,,196,,Le Berre Mathis,,
paris-nice:2026:5,5,28,28,,186,,Houcou Emmanuel,,
paris-nice:2026:5,5,29,29,,175,,Løland Sakarias Koller,,
paris-nice:2026:5,5,30,30,,182,,Christen Fabio,,
paris-nice:2026:5,5,31,32,,77,,Milesi Lorenzo,,
paris-nice:2026:5,5,32,33,,136,,Rouland Louis,,
paris-nice:2026:5,5,33,34,,46,,Söderqvist Jakob,,
paris-nice:2026:5,5,34,16,,213,,Giddings Joshua,,
paris-nice:2026:5,5,35,36,,164,,MacKellar Alastair,,
paris-nice:2026:5,5,36,27,,63,,Costiou Ewen,,
paris-nice:2026:5,5,37,39,,151,,Martinez Juan Guillermo,,
paris-nice:2026:5,5,38,41,,204,,Dehairs Simon,,
paris-nice:2026:6,6,1,1,,165,,Steinhauser Georg,,
paris-nice:2026:6,6,2,2,,26,,Vauquelin Kévin,,
paris-nice:2026:6,6,3,3,,51,,Martinez Lenny,,
paris-nice:2026:6,6,4,4,,141,,Rondel Mathys,,
paris-nice:2026:6,6,5,5,,163,,Baudin Alex,,
paris-nice:2026:6,6,6,7,,197,,Vercher Mattéo,,
paris-nice:2026:6,6,7,8,,81,,Paret-Peintre Valentin,,
paris-nice:2026:6,6,8,10,,47,,Vacek Mathias,,
paris-nice:2026:6,6,9,9,,25,,Tarling Joshua,,
paris-nice:2026:6,6,10,12,,13,,Pithie Laurence,,
paris-nice:2026:6,6,11,11,,33,,Arrieta Igor,,
paris-nice:2026:6,6,12,15,,127,,Vinokurov Nicolas,,
paris-nice:2026:6,6,13,14,,24,,Rodríguez Carlos,,
paris-nice:2026:6,6,14,16,,112,,Donaldson Robert,,
paris-nice:2026:6,6,15,19,,161,,Lamperti Luke,,
paris-nice:2026:6,6,16,18,,27,,Watson Samuel,,
paris-nice:2026:6,6,17,17,,167,,Walker Max,,
paris-nice:2026:6,6,18,13,,126,,van Bekkum Darren,,
paris-nice:2026:6,6,19,23,,92,,Askey Lewis,,
paris-nice:2026:6,6,20,20,,14,,Thornley Callum,,
paris-nice:2026:6,6,21,24,,174,,Blume Levy William,,
paris-nice:2026:6,6,22,31,,77,,Milesi Lorenzo,,
paris-nice:2026:6,6,23,25,,104,,Chamberlain Oscar,,
paris-nice:2026:6,6,24,27,,196,,Le Berre Mathis,,
paris-nice:2026:6,6,25,26,,203,,Debruyne Ramses,,
paris-nice:2026:6,6,26,22,,76,,Hessmann Michel,,
paris-nice:2026:6,6,27,33,,46,,Söderqvist Jakob,,
paris-nice:2026:6,6,28,35,,164,,MacKellar Alastair,,
paris-nice:2026:6,6,29,28,,186,,Houcou Emmanuel,,
paris-nice:2026:6,6,30,36,,63,,Costiou Ewen,,
paris-nice:2026:6,6,31,34,,213,,Giddings Joshua,,
paris-nice:2026:6,6,32,29,,175,,Løland Sakarias Koller,,
paris-nice:2026:6,6,33,32,,136,,Rouland Louis,,
paris-nice:2026:6,6,34,37,,151,,Martinez Juan Guillermo,,
