Stage UID,Stage,Rank,Previous Stage Ranking,Change,Bib,Specialty,Rider,Age,Team,Points,Today
itzulia-basque-country:2026:3,3,22,15,,101,,van den Broek Frank,,,,
itzulia-basque-country:2026:3,3,23,,,215,,Thompson Reuben,,,,
itzulia-basque-country:2026:4,4,1,1,,156,,Bou Joan,,,,
itzulia-basque-country:2026:4,4,2,2,,61,,Seixas Paul,,,,
itzulia-basque-country:2026:4,4,3,3,,33,,Arrieta Igor,,,,
itzulia-basque-country:2026:4,4,4,8,,202,,Johannessen Tobias Halland,,,,
itzulia-basque-country:2026:4,4,5,4,,46,,Skjelmose Mattias,,,,
itzulia-basque-country:2026:4,4,6,21,,32,,McNulty Brandon,,,,
itzulia-basque-country:2026:4,4,7,,,142,,Aranburu Alex,,,,
itzulia-basque-country:2026:4,4,8,5,,176,,Baudin Alex,,,,
itzulia-basque-country:2026:4,4,9,6,,167,,Mintegi Iker,,,,
itzulia-basque-country:2026:4,4,10,,,203,,Johannessen Anders Halland,,,,
itzulia-basque-country:2026:4,4,11,,,37,,Soler Marc,,,,
itzulia-basque-country:2026:4,4,12,7,,53,,Lipowitz Florian,,,,
itzulia-basque-country:2026:4,4,13,,,204,,Kron Andreas,,,,
itzulia-basque-country:2026:4,4,14,,,93,,López Juan Pedro,,,,
itzulia-basque-country:2026:4,4,15,17,,175,,van der Lee Jardi Christiaan,,,,
itzulia-basque-country:2026:4,4,16,9,,91,,Uijtdebroeks Cian,,,,
itzulia-basque-country:2026:4,4,17,,,21,,Martin Guillaume,,,,
itzulia-basque-country:2026:4,4,18,11,,12,,Fortunato Lorenzo,,,,
itzulia-basque-country:2026:4,4,19,10,,6,,Van Wilder Ilan,,,,
itzulia-basque-country:2026:4,4,20,,,25,,Pacher Quentin,,,,
itzulia-basque-country:2026:4,4,21,,,47,,Simmons Quinn,,,,
itzulia-basque-country:2026:4,4,22,12,,185,,Laurance Axel,,,,
itzulia-basque-country:2026:4,4,23,14,,191,,Armirail Bruno,,,,
itzulia-basque-country:2026:4,4,24,13,,42,,Mollema Bauke,,,,
itzulia-basque-country:2026:4,4,25,15,,77,,Fajardo Adrián,,,,
itzulia-basque-country:2026:4,4,26,16,,141,,Izagirre Ion,,,,
itzulia-basque-country:2026:4,4,27,,,183,,Vauquelin Kévin,,,,
itzulia-basque-country:2026:4,4,28,23,,215,,Thompson Reuben,,,,
itzulia-basque-country:2026:4,4,29,,,16,,Scaroni Christian,,,,
itzulia-basque-country:2026:4,4,30,19,,95,,Tesfatsion Natnael,,,,
itzulia-basque-country:2026:4,4,31,20,,94,,García Pierna Raúl,,,,
itzulia-basque-country:2026:4,4,32,18,,7,,Hayter Ethan,,,,
itzulia-basque-country:2026:4,4,33,,,171,,Healy Ben,,,,
itzulia-basque-country:2026:4,4,34,,,126,,Glivar Gal,,,,
itzulia-basque-country:2026:4,4,35,22,,101,,van den Broek Frank,,,,
itzulia-basque-country:2026:5,5,1,2,,61,,Seixas Paul,,,,
itzulia-basque-country:2026:5,5,2,1,,156,,Bou Joan,,,,
itzulia-basque-country:2026:5,5,3,10,,203,,Johannessen Anders Halland,,,,
